wallet,timestamp,time_utc,side,outcome,price,size,market
wallet_1,1773957495.0,2026-03-19 21:58:15,BUY,Up,0.9,1.32,"Bitcoin Up or Down - March 19, 5:55PM-6:00PM ET"
wallet_1,1773957503.0,2026-03-19 21:58:23,BUY,Up,0.95,69.96052,"Bitcoin Up or Down - March 19, 5:55PM-6:00PM ET"
wallet_1,1773957511.0,2026-03-19 21:58:31,BUY,Down,0.03,70.0,"Bitcoin Up or Down - March 19, 5:55PM-6:00PM ET"
wallet_1,1773957565.0,2026-03-19 21:59:25,BUY,Up,0.94,29.0,"Bitcoin Up or Down - March 19, 5:55PM-6:00PM ET"
wallet_1,1773957565.0,2026-03-19 21:59:25,BUY,Up,0.94,41.0,"Bitcoin Up or Down - March 19, 5:55PM-6:00PM ET"
wallet_1,1773957565.0,2026-03-19 21:59:25,BUY,Up,0.94,70.0,"Bitcoin Up or Down - March 19, 5:55PM-6:00PM ET"
wallet_1,1773957575.0,2026-03-19 21:59:35,BUY,Up,0.96,70.0,"Bitcoin Up or Down - March 19, 5:55PM-6:00PM ET"
wallet_1,1773957579.0,2026-03-19 21:59:39,BUY,Up,0.97,69.98519,"Bitcoin Up or Down - March 19, 5:55PM-6:00PM ET"
wallet_1,1773957583.0,2026-03-19 21:59:43,BUY,Up,0.83,24.0,"Bitcoin Up or Down - March 19, 5:55PM-6:00PM ET"
wallet_1,1773957583.0,2026-03-19 21:59:43,BUY,Up,0.83,2.16,"Bitcoin Up or Down - March 19, 5:55PM-6:00PM ET"
wallet_1,1773957583.0,2026-03-19 21:59:43,BUY,Up,0.83,5.85,"Bitcoin Up or Down - March 19, 5:55PM-6:00PM ET"
wallet_1,1773957583.0,2026-03-19 21:59:43,BUY,Up,0.83,70.0,"Bitcoin Up or Down - March 19, 5:55PM-6:00PM ET"
wallet_1,1773957583.0,2026-03-19 21:59:43,BUY,Up,0.84,52.08,"Bitcoin Up or Down - March 19, 5:55PM-6:00PM ET"
wallet_1,1773957583.0,2026-03-19 21:59:43,BUY,Up,0.82,69.61875,"Bitcoin Up or Down - March 19, 5:55PM-6:00PM ET"
wallet_1,1773957585.0,2026-03-19 21:59:45,BUY,Up,0.8100001174545797,5.789472,"Bitcoin Up or Down - March 19, 5:55PM-6:00PM ET"
wallet_1,1773957585.0,2026-03-19 21:59:45,BUY,Down,0.16,46.79,"Bitcoin Up or Down - March 19, 5:55PM-6:00PM ET"
wallet_1,1773957585.0,2026-03-19 21:59:45,BUY,Down,0.18,69.61875,"Bitcoin Up or Down - March 19, 5:55PM-6:00PM ET"
wallet_1,1773957585.0,2026-03-19 21:59:45,BUY,Down,0.16,23.21,"Bitcoin Up or Down - March 19, 5:55PM-6:00PM ET"
wallet_1,1773957585.0,2026-03-19 21:59:45,BUY,Down,0.17000006495478334,2.463252,"Bitcoin Up or Down - March 19, 5:55PM-6:00PM ET"
wallet_1,1773957585.0,2026-03-19 21:59:45,BUY,Down,0.17,0.4,"Bitcoin Up or Down - March 19, 5:55PM-6:00PM ET"
wallet_1,1773957585.0,2026-03-19 21:59:45,BUY,Down,0.17000012071483878,1.159758,"Bitcoin Up or Down - March 19, 5:55PM-6:00PM ET"
wallet_1,1773957587.0,2026-03-19 21:59:47,BUY,Down,0.25,1.533332,"Bitcoin Up or Down - March 19, 5:55PM-6:00PM ET"
wallet_1,1773957587.0,2026-03-19 21:59:47,BUY,Up,0.8,11.9232,"Bitcoin Up or Down - March 19, 5:55PM-6:00PM ET"
wallet_1,1773957589.0,2026-03-19 21:59:49,BUY,Down,0.25,4.32,"Bitcoin Up or Down - March 19, 5:55PM-6:00PM ET"
wallet_1,1773957589.0,2026-03-19 21:59:49,BUY,Up,0.64,5.29,"Bitcoin Up or Down - March 19, 5:55PM-6:00PM ET"
wallet_1,1773957589.0,2026-03-19 21:59:49,BUY,Down,0.28,20.0,"Bitcoin Up or Down - March 19, 5:55PM-6:00PM ET"
wallet_1,1773957589.0,2026-03-19 21:59:49,BUY,Down,0.26000000103412135,58.020269,"Bitcoin Up or Down - March 19, 5:55PM-6:00PM ET"
wallet_1,1773957589.0,2026-03-19 21:59:49,BUY,Up,0.74,14.42526,"Bitcoin Up or Down - March 19, 5:55PM-6:00PM ET"
wallet_1,1773957589.0,2026-03-19 21:59:49,BUY,Up,0.61,69.00957,"Bitcoin Up or Down - March 19, 5:55PM-6:00PM ET"
wallet_1,1773957589.0,2026-03-19 21:59:49,BUY,Down,0.28,5.0,"Bitcoin Up or Down - March 19, 5:55PM-6:00PM ET"
wallet_1,1773957589.0,2026-03-19 21:59:49,BUY,Down,0.2800000113909044,21.069442,"Bitcoin Up or Down - March 19, 5:55PM-6:00PM ET"
wallet_1,1773957589.0,2026-03-19 21:59:49,BUY,Down,0.2800000144810953,13.81111,"Bitcoin Up or Down - March 19, 5:55PM-6:00PM ET"
wallet_1,1773957589.0,2026-03-19 21:59:49,BUY,Up,0.74,69.35219,"Bitcoin Up or Down - March 19, 5:55PM-6:00PM ET"
wallet_1,1773957589.0,2026-03-19 21:59:49,BUY,Down,0.26,11.97,"Bitcoin Up or Down - March 19, 5:55PM-6:00PM ET"
wallet_1,1773957589.0,2026-03-19 21:59:49,BUY,Up,0.64,5.3,"Bitcoin Up or Down - March 19, 5:55PM-6:00PM ET"
wallet_1,1773957591.0,2026-03-19 21:59:51,BUY,Down,0.31,69.99,"Bitcoin Up or Down - March 19, 5:55PM-6:00PM ET"
wallet_1,1773957597.0,2026-03-19 21:59:57,BUY,Down,0.29,30.0,"Bitcoin Up or Down - March 19, 5:55PM-6:00PM ET"
wallet_1,1773957597.0,2026-03-19 21:59:57,BUY,Up,0.72,63.0,"Bitcoin Up or Down - March 19, 5:55PM-6:00PM ET"
wallet_1,1773957597.0,2026-03-19 21:59:57,BUY,Up,0.72,7.0,"Bitcoin Up or Down - March 19, 5:55PM-6:00PM ET"
